PRISM Time Series Data
Location:  Lat: 40.2888   Lon: -105.6615   Elev: 11122ft
"Climate variables: tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1895-08 - 2018-08
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Sep-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
1915-10,24.9,35.8,46.7
1915-11,14.1,24.6,35.1
1915-12,5.9,16.3,26.7
1916-01,-1.3,8.4,18.1
1916-02,6.6,18.1,29.6
1916-03,14.6,25.9,37.1
1916-04,15.3,27.0,38.6
1916-05,20.8,33.4,45.9
1916-06,28.3,42.7,57.1
1916-07,37.9,51.1,64.3
1916-08,35.7,46.7,57.7
1916-09,28.1,40.4,52.6
1916-10,20.3,29.8,39.2
1916-11,9.2,19.2,29.3
1916-12,-0.0,8.4,16.8
1917-01,2.9,10.4,17.8
1917-02,6.0,14.6,23.1
1917-03,3.1,13.9,24.7
1917-04,13.8,23.8,33.9
1917-05,19.0,28.2,37.4
1917-06,28.0,42.0,56.1
1917-07,38.6,50.9,63.2
1917-08,35.5,46.8,58.2
1917-09,31.3,43.3,55.4
1917-10,20.7,31.4,42.1
1917-11,17.7,27.1,36.5
1917-12,15.4,21.5,27.6
1918-01,2.4,9.9,17.3
1918-02,8.6,19.2,29.8
1918-03,14.7,25.9,37.2
1918-04,13.8,23.0,32.3
1918-05,24.6,35.9,47.1
1918-06,34.6,47.6,60.7
1918-07,37.6,49.1,60.5
1918-08,38.5,50.0,61.5
1918-09,31.0,40.7,50.5
1918-10,26.5,35.1,43.7
1918-11,10.0,20.1,30.2
1918-12,6.7,15.9,25.0
1919-01,5.9,17.7,29.5
1919-02,6.3,14.7,23.1
1919-03,10.7,21.3,31.9
1919-04,17.9,29.0,40.1
1919-05,25.9,38.0,50.0
1919-06,33.0,46.4,59.8
1919-07,41.7,53.6,65.5
1919-08,38.2,51.0,63.9
1919-09,35.8,45.8,55.8
1919-10,21.5,29.4,37.3
1919-11,12.0,21.6,31.2
1919-12,9.7,18.3,26.9
1920-01,12.0,21.1,30.2
1920-02,8.9,17.7,26.5
1920-03,8.4,19.2,29.9
1920-04,11.3,19.7,28.1
1920-05,26.1,36.0,45.9
1920-06,29.7,42.3,55.0
1920-07,31.8,46.7,61.7
1920-08,33.2,45.2,57.1
1920-09,24.4,38.2,52.0
1920-10,17.2,30.0,42.8
1920-11,5.5,16.8,28.2
1920-12,4.4,13.8,23.3
1921-01,6.8,17.9,29.0
1921-02,8.8,18.1,27.3
1921-03,12.6,24.5,36.3
1921-04,11.9,23.3,34.7
1921-05,23.1,34.9,46.7
1921-06,34.9,45.6,56.2
1921-07,40.0,51.0,62.0
1921-08,39.4,49.4,59.4
1921-09,31.8,44.2,56.7
1921-10,28.1,38.5,48.9
1921-11,14.1,25.3,36.5
1921-12,9.4,20.0,30.6
1922-01,-2.5,8.7,19.9
1922-02,1.7,12.1,22.5
1922-03,6.2,18.7,31.2
1922-04,12.6,23.9,35.2
1922-05,22.2,34.8,47.4
1922-06,31.3,46.6,61.8
1922-07,34.4,48.5,62.6
1922-08,37.7,50.5,63.4
1922-09,29.1,43.3,57.4
1922-10,19.1,32.9,46.7
1922-11,7.4,18.8,30.2
1922-12,8.0,17.1,26.2
1923-01,8.1,18.2,28.3
1923-02,-2.1,10.0,22.2
1923-03,0.5,13.7,26.8
1923-04,12.6,24.8,37.0
1923-05,22.2,33.7,45.2
1923-06,28.4,41.3,54.1
1923-07,36.4,49.3,62.1
1923-08,34.5,45.8,57.0
1923-09,27.0,39.7,52.4
1923-10,16.7,25.2,33.7
1923-11,10.1,22.8,35.6
1923-12,3.8,15.0,26.1
1924-01,-0.3,10.1,20.5
1924-02,6.9,19.0,31.1
1924-03,-1.7,9.8,21.3
1924-04,12.8,25.0,37.3
1924-05,20.2,31.6,43.1
1924-06,28.2,43.7,59.1
1924-07,32.8,48.2,63.6
1924-08,33.9,50.0,66.1
1924-09,26.7,40.6,54.6
1924-10,23.0,34.2,45.4
1924-11,11.7,24.2,36.8
1924-12,-0.2,11.3,22.8
1925-01,0.3,11.0,21.6
1925-02,8.5,20.2,32.0
1925-03,10.0,23.9,37.8
1925-04,16.2,29.9,43.7
1925-05,23.6,36.6,49.5
1925-06,30.3,44.5,58.7
1925-07,37.0,49.9,62.8
1925-08,34.5,45.9,57.2
1925-09,29.5,42.2,54.9
1925-10,18.6,26.0,33.3
1925-11,11.2,21.8,32.4
1925-12,3.2,14.9,26.5
1926-01,2.7,12.3,21.8
1926-02,8.7,19.3,30.0
1926-03,4.6,17.6,30.6
1926-04,14.9,26.2,37.4
1926-05,24.1,35.4,46.7
1926-06,30.0,43.3,56.6
1926-07,34.3,47.0,59.7
1926-08,33.6,47.9,62.1
1926-09,25.6,40.1,54.6
1926-10,20.8,34.9,49.0
1926-11,13.3,23.0,32.8
1926-12,2.7,12.9,23.2
1927-01,4.6,16.2,27.8
1927-02,5.1,16.1,27.2
1927-03,5.7,17.0,28.2
1927-04,14.6,26.3,38.1
1927-05,22.1,36.5,50.9
1927-06,30.3,43.0,55.7
1927-07,34.2,48.2,62.2
1927-08,32.4,44.1,55.7
1927-09,28.3,40.2,52.1
1927-10,21.1,35.0,48.8
1927-11,17.1,26.5,35.8
1927-12,-3.0,8.0,19.1
1928-01,8.0,17.5,26.9
1928-02,0.6,13.5,26.4
1928-03,8.2,20.8,33.4
1928-04,11.3,25.1,38.9
1928-05,24.0,35.2,46.3
1928-06,26.9,38.4,49.8
1928-07,33.4,47.6,61.7
1928-08,31.5,45.4,59.4
1928-09,26.8,40.0,53.2
1928-10,21.0,31.1,41.1
1928-11,9.3,19.8,30.4
1928-12,2.2,12.8,23.3
1929-01,-0.2,10.0,20.1
1929-02,-7.2,5.2,17.6
1929-03,7.5,18.7,29.8
1929-04,14.1,24.9,35.7
1929-05,20.9,32.9,45.0
1929-06,27.8,43.1,58.4
1929-07,36.6,49.9,63.1
1929-08,37.8,49.0,60.2
1929-09,28.6,38.8,49.1
1929-10,22.6,32.8,43.1
1929-11,2.3,13.5,24.7
1929-12,8.6,18.8,29.0
1930-01,-9.4,1.9,13.3
1930-02,10.8,20.9,30.9
1930-03,4.5,16.3,28.2
1930-04,19.2,32.6,46.1
1930-05,20.7,32.4,44.2
1930-06,28.6,43.9,59.2
1930-07,37.7,49.8,61.8
1930-08,36.6,47.5,58.5
1930-09,28.0,41.0,54.0
1930-10,19.9,31.3,42.7
1930-11,9.7,21.3,32.8
1930-12,3.2,13.9,24.5
1931-01,5.5,15.4,25.3
1931-02,6.2,17.3,28.5
1931-03,3.5,15.7,28.0
1931-04,13.2,26.0,38.8
1931-05,19.1,32.1,45.2
1931-06,30.3,44.9,59.4
1931-07,36.4,50.6,64.8
1931-08,34.0,47.5,61.0
1931-09,31.9,45.0,58.1
1931-10,22.0,34.0,45.9
1931-11,7.4,19.1,30.8
1931-12,5.7,15.8,25.9
1932-01,-1.4,8.2,17.9
1932-02,7.6,18.1,28.6
1932-03,1.0,12.2,23.4
1932-04,14.9,28.1,41.3
1932-05,22.3,35.5,48.7
1932-06,28.6,41.5,54.4
1932-07,36.6,50.4,64.2
1932-08,35.3,48.8,62.3
1932-09,27.3,41.5,55.7
1932-10,17.6,29.8,41.9
1932-11,12.7,23.1,33.5
1932-12,-3.4,6.3,16.1
1933-01,4.2,13.5,22.8
1933-02,-5.2,6.8,18.8
1933-03,8.6,20.3,32.0
1933-04,10.7,23.3,36.0
1933-05,20.2,31.6,43.0
1933-06,33.8,47.5,61.3
1933-07,37.9,51.5,65.2
1933-08,34.2,46.3,58.4
1933-09,31.9,45.0,58.1
1933-10,23.3,36.8,50.3
1933-11,14.4,25.5,36.6
1933-12,14.5,23.3,32.1
1934-01,8.0,17.6,27.2
1934-02,7.5,18.7,29.8
1934-03,11.8,23.6,35.4
1934-04,16.6,29.4,42.2
1934-05,28.4,42.0,55.5
1934-06,30.6,45.5,60.3
1934-07,38.7,53.2,67.7
1934-08,36.6,50.3,64.0
1934-09,25.3,39.5,53.6
1934-10,24.1,37.2,50.4
1934-11,13.3,23.8,34.3
1934-12,6.6,16.0,25.5
1935-01,7.0,18.1,29.2
1935-02,5.2,17.7,30.2
1935-03,8.7,20.6,32.6
1935-04,14.1,25.4,36.6
1935-05,20.3,28.8,37.3
1935-06,28.6,42.7,56.7
1935-07,37.0,50.6,64.2
1935-08,38.0,50.3,62.7
1935-09,29.5,41.9,54.3
1935-10,19.8,31.3,42.7
1935-11,10.8,20.0,29.1
1935-12,5.8,16.2,26.6
1936-01,2.7,11.4,20.1
1936-02,-1.1,9.6,20.4
1936-03,8.0,19.6,31.1
1936-04,15.5,27.7,39.8
1936-05,24.7,37.3,49.9
1936-06,33.5,45.8,58.2
1936-07,39.5,53.4,67.4
1936-08,37.1,49.2,61.2
1936-09,28.9,42.2,55.5
1936-10,19.9,30.1,40.3
1936-11,11.4,22.5,33.7
1936-12,7.5,16.5,25.6
1937-01,-8.3,1.8,11.9
1937-02,2.3,13.0,23.7
1937-03,5.8,16.9,28.1
1937-04,13.7,26.0,38.4
1937-05,24.5,36.8,49.0
1937-06,29.7,41.5,53.2
1937-07,37.3,49.9,62.5
1937-08,37.9,51.7,65.6
1937-09,31.1,44.0,56.9
1937-10,23.5,34.3,45.1
1937-11,11.9,21.0,30.1
1937-12,6.5,15.4,24.4
1938-01,4.6,13.6,22.6
1938-02,5.5,15.5,25.5
1938-03,10.5,20.5,30.5
1938-04,14.3,26.8,39.3
1938-05,22.4,33.1,43.8
1938-06,31.2,43.9,56.6
1938-07,34.9,48.4,61.9
1938-08,37.5,50.9,64.3
1938-09,32.0,43.4,54.8
1938-10,23.8,35.5,47.2
1938-11,6.4,16.8,27.1
1938-12,5.5,14.3,23.1
1939-01,5.3,13.3,21.2
1939-02,-4.5,5.3,15.2
1939-03,8.1,19.1,30.1
1939-04,16.1,27.9,39.8
1939-05,24.5,38.0,51.4
1939-06,28.5,43.2,57.8
1939-07,36.2,51.5,66.8
1939-08,34.3,48.3,62.4
1939-09,32.2,44.7,57.3
1939-10,20.8,33.2,45.5
1939-11,11.6,24.4,37.3
1939-12,10.6,21.2,31.7
1940-01,0.4,8.9,17.3
1940-02,6.6,15.2,23.8
1940-03,11.9,22.6,33.2
1940-04,16.3,28.0,39.6
1940-05,24.5,37.1,49.8
1940-06,32.2,46.9,61.5
1940-07,38.6,51.8,65.1
1940-08,35.5,49.2,62.9
1940-09,33.7,44.1,54.5
1940-10,23.7,35.8,47.9
1940-11,8.9,18.8,28.7
1940-12,8.2,17.9,27.7
1941-01,4.7,15.2,25.6
1941-02,7.2,18.3,29.4
1941-03,6.7,17.3,27.9
1941-04,14.8,25.0,35.3
1941-05,25.2,37.4,49.6
1941-06,28.9,41.4,53.8
1941-07,35.5,48.8,62.2
1941-08,35.1,47.9,60.8
1941-09,27.7,39.9,52.1
1941-10,21.3,31.2,41.1
1941-11,11.9,23.3,34.7
1941-12,6.2,18.3,30.3
1942-01,-1.7,10.6,22.9
1942-02,-6.4,5.3,17.0
1942-03,3.5,15.5,27.6
1942-04,18.3,29.9,41.5
1942-05,20.7,33.5,46.3
1942-06,30.1,42.6,55.2
1942-07,36.6,50.3,64.0
1942-08,36.0,49.1,62.2
1942-09,26.9,40.4,53.9
1942-10,20.4,32.0,43.6
1942-11,11.5,23.5,35.5
1942-12,5.3,16.1,27.0
1943-01,2.2,13.0,23.9
1943-02,5.5,18.4,31.3
1943-03,2.6,14.8,26.9
1943-04,20.4,33.4,46.4
1943-05,21.3,32.8,44.2
1943-06,29.9,43.1,56.4
1943-07,37.7,51.6,65.6
1943-08,39.4,51.6,63.8
1943-09,25.9,41.6,57.3
1943-10,18.7,32.4,46.1
1943-11,9.9,23.3,36.6
1943-12,5.5,16.8,28.1
1944-01,-0.8,12.2,25.2
1944-02,-0.2,12.6,25.4
1944-03,3.8,15.1,26.4
1944-04,11.9,23.0,34.2
1944-05,23.4,36.0,48.5
1944-06,29.4,43.6,57.7
1944-07,34.5,49.2,64.0
1944-08,34.2,50.3,66.4
1944-09,25.0,42.0,58.9
1944-10,20.4,34.9,49.3
1944-11,11.5,23.0,34.5
1944-12,-0.2,13.0,26.2
1945-01,4.5,14.3,24.1
1945-02,6.2,15.9,25.6
1945-03,8.4,20.5,32.6
1945-04,9.9,21.7,33.4
1945-05,24.6,36.4,48.3
1945-06,28.6,40.2,51.9
1945-07,35.9,49.9,64.0
1945-08,37.2,49.8,62.4
1945-09,27.4,40.9,54.5
1945-10,21.8,34.8,47.7
1945-11,13.4,22.8,32.1
1945-12,4.4,13.3,22.3
1946-01,1.5,13.3,25.1
1946-02,5.2,16.3,27.3
1946-03,11.2,23.8,36.5
1946-04,21.6,34.9,48.1
1946-05,21.4,32.4,43.5
1946-06,31.5,46.0,60.5
1946-07,37.1,51.4,65.6
1946-08,36.6,49.7,62.9
1946-09,29.7,43.2,56.8
1946-10,21.8,31.4,41.0
1946-11,8.5,18.8,29.2
1946-12,10.4,19.8,29.1
1947-01,2.6,12.5,22.4
1947-02,2.1,13.3,24.5
1947-03,5.8,17.3,28.8
1947-04,15.2,26.0,36.9
1947-05,25.4,37.2,49.0
1947-06,28.5,40.9,53.3
1947-07,36.6,50.8,64.9
1947-08,38.2,51.3,64.4
1947-09,32.6,46.2,59.7
1947-10,26.7,37.2,47.6
1947-11,5.2,15.1,24.9
1947-12,6.6,16.8,27.0
1948-01,1.2,11.5,21.8
1948-02,-1.1,11.9,24.9
1948-03,0.4,12.2,24.1
1948-04,17.3,29.9,42.6
1948-05,24.4,37.8,51.2
1948-06,32.1,45.2,58.2
1948-07,35.9,51.1,66.3
1948-08,36.3,50.8,65.2
1948-09,32.6,47.2,61.8
1948-10,20.6,33.2,45.7
1948-11,9.3,17.7,26.1
1948-12,4.9,14.0,23.1
1949-01,-7.5,4.4,16.3
1949-02,1.5,11.7,21.8
1949-03,9.7,20.6,31.5
1949-04,16.8,29.6,42.4
1949-05,25.7,37.0,48.4
1949-06,33.4,44.4,55.5
1949-07,37.7,50.5,63.3
1949-08,35.7,49.7,63.7
1949-09,29.9,43.6,57.4
1949-10,21.7,32.1,42.6
1949-11,19.7,30.7,41.7
1949-12,5.1,15.8,26.6
1950-01,4.4,13.0,21.7
1950-02,7.3,17.3,27.4
1950-03,7.5,17.9,28.3
1950-04,16.5,28.4,40.3
1950-05,20.2,32.1,44.0
1950-06,29.8,44.2,58.5
1950-07,34.2,47.1,60.1
1950-08,32.2,46.6,61.0
1950-09,28.6,40.3,52.1
1950-10,26.0,39.7,53.4
1950-11,13.4,24.0,34.5
1950-12,13.4,22.1,30.8
1951-01,2.4,12.1,21.8
1951-02,4.2,16.0,27.8
1951-03,4.8,16.9,29.0
1951-04,13.9,25.2,36.4
1951-05,24.6,36.0,47.4
1951-06,26.8,39.3,51.7
1951-07,36.2,50.5,64.9
1951-08,35.8,48.6,61.3
1951-09,27.4,41.3,55.2
1951-10,21.1,31.9,42.6
1951-11,8.0,19.4,30.9
1951-12,5.0,13.5,21.9
1952-01,4.7,14.4,24.2
1952-02,4.5,15.2,26.0
1952-03,2.5,14.1,25.6
1952-04,14.8,27.3,39.7
1952-05,24.0,35.9,47.7
1952-06,33.8,48.3,62.8
1952-07,35.7,50.0,64.2
1952-08,36.8,49.7,62.6
1952-09,31.0,45.1,59.1
1952-10,21.3,35.9,50.5
1952-11,5.3,17.1,29.0
1952-12,6.7,16.4,26.1
1953-01,13.0,21.9,30.8
1953-02,2.8,13.9,25.0
1953-03,11.1,23.0,34.9
1953-04,11.2,22.9,34.6
1953-05,21.0,32.1,43.1
1953-06,32.7,46.5,60.2
1953-07,38.6,51.9,65.2
1953-08,35.7,48.4,61.1
1953-09,31.7,45.7,59.7
1953-10,22.3,35.3,48.3
1953-11,15.2,25.7,36.3
1953-12,4.4,15.0,25.6
1954-01,8.9,18.4,27.8
1954-02,12.1,23.6,35.2
1954-03,4.6,16.4,28.2
1954-04,19.0,33.1,47.1
1954-05,23.0,36.0,49.0
1954-06,31.3,46.2,61.2
1954-07,39.9,53.7,67.5
1954-08,36.5,50.1,63.7
1954-09,33.6,46.0,58.4
1954-10,24.1,35.4,46.8
1954-11,15.2,27.8,40.4
1954-12,6.7,17.9,29.1
1955-01,1.6,12.0,22.4
1955-02,-1.8,9.2,20.1
1955-03,3.6,16.1,28.7
1955-04,14.5,28.0,41.5
1955-05,23.1,35.9,48.7
1955-06,29.1,41.3,53.5
1955-07,36.2,50.8,65.4
1955-08,38.2,50.6,62.9
1955-09,31.0,44.6,58.2
1955-10,22.9,36.1,49.3
1955-11,9.4,19.3,29.2
1955-12,10.5,19.2,27.9
1956-01,8.4,19.6,30.7
1956-02,-2.6,9.8,22.2
1956-03,5.7,18.5,31.4
1956-04,14.2,26.7,39.1
1956-05,26.7,38.8,51.0
1956-06,32.6,48.2,63.8
1956-07,35.4,49.3,63.2
1956-08,34.7,47.2,59.6
1956-09,29.5,44.9,60.4
1956-10,22.1,35.6,49.1
1956-11,7.8,19.8,31.7
1956-12,9.1,20.0,30.8
1957-01,0.5,10.7,20.9
1957-02,10.4,21.6,32.7
1957-03,7.2,19.4,31.5
1957-04,11.6,22.5,33.4
1957-05,22.4,32.6,42.9
1957-06,30.8,43.3,55.8
1957-07,38.5,50.9,63.3
1957-08,37.3,49.8,62.3
1957-09,27.4,40.5,53.6
1957-10,23.8,33.8,43.8
1957-11,8.3,18.1,27.9
1957-12,11.0,21.0,31.0
1958-01,3.2,14.3,25.3
1958-02,11.1,21.5,31.9
1958-03,2.1,14.4,26.6
1958-04,13.8,24.6,35.3
1958-05,26.1,38.9,51.7
1958-06,32.4,45.8,59.3
1958-07,35.7,48.9,62.2
1958-08,38.4,51.3,64.1
1958-09,32.1,45.2,58.2
1958-10,23.2,35.8,48.4
1958-11,13.4,24.4,35.4
1958-12,11.1,20.4,29.6
1959-01,4.1,14.1,24.2
1959-02,3.6,14.0,24.4
1959-03,7.4,18.2,29.1
1959-04,14.5,25.8,37.2
1959-05,24.7,35.9,47.0
1959-06,34.5,47.8,61.1
1959-07,34.9,49.1,63.3
1959-08,38.2,50.4,62.6
1959-09,29.5,41.3,53.1
1959-10,20.5,30.6,40.7
1959-11,9.9,21.7,33.6
1959-12,7.2,19.8,32.4
1960-01,1.1,12.0,22.8
1960-02,-1.9,8.5,18.9
1960-03,9.3,20.8,32.3
1960-04,18.3,30.7,43.0
1960-05,22.1,35.2,48.3
1960-06,31.9,46.2,60.4
1960-07,35.4,49.7,64.0
1960-08,35.2,49.8,64.5
1960-09,32.0,44.8,57.7
1960-10,23.2,34.0,44.9
1960-11,13.1,23.7,34.3
1960-12,4.8,15.6,26.4
1961-01,4.5,16.1,27.8
1961-02,6.0,17.6,29.3
1961-03,8.4,19.3,30.1
1961-04,13.4,24.8,36.2
1961-05,24.9,36.2,47.6
1961-06,30.8,44.1,57.5
1961-07,36.1,48.8,61.5
1961-08,36.6,49.0,61.3
1961-09,27.4,37.3,47.2
