siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,Br,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,lastDate
CO98,Annual,1999,60,100,59,0.215,0.021,0.021,0.034,0.142,0.958,0.057,0.533,-9,5.032,7.669,21288.500,97.511,24,364,"1998-12-29 00:00","1999-12-28 00:00"
CO98,Annual,2000,68,100,69,0.162,0.017,0.018,0.027,0.194,0.803,0.059,0.500,-9,5.124,7.037,28482.800,97.435,30,371,"1999-12-28 00:00","2001-01-02 00:00"
CO98,Annual,2001,79,98,85,0.168,0.017,0.021,0.027,0.238,0.937,0.049,0.514,-9,5.172,7.074,32913.900,86.834,40,364,"2001-01-02 00:00","2002-01-01 00:00"
CO98,Annual,2002,77,100,81,0.317,0.027,0.024,0.037,0.213,0.894,0.048,0.399,-9,5.293,7.034,22946.200,70.874,36,364,"2002-01-01 00:00","2002-12-31 00:00"
CO98,Annual,2003,85,100,85,0.279,0.026,0.024,0.026,0.190,0.780,0.045,0.429,-9,5.255,6.575,31075.400,86.718,38,364,"2002-12-31 00:00","2003-12-30 00:00"
CO98,Annual,2004,87,100,92,0.141,0.014,0.021,0.024,0.220,0.800,0.042,0.426,-9,5.193,6.291,45173.300,99.337,41,364,"2003-12-30 00:00","2004-12-28 00:00"
CO98,Annual,2005,90,100,97,0.124,0.013,0.020,0.024,0.170,0.666,0.041,0.429,-9,5.179,5.883,40559.400,99.302,43,371,"2004-12-28 00:00","2006-01-03 00:00"
CO98,Annual,2006,65,100,57,0.600,0.036,0.035,0.059,0.227,1.049,0.063,0.533,-9,5.145,9.356,23205.100,85.109,30,364,"2006-01-03 00:00","2007-01-02 00:00"
CO98,Annual,2007,65,98,75,0.184,0.019,0.024,0.028,0.212,0.785,0.045,0.411,-9,5.317,5.555,33169.400,86.713,32,364,"2007-01-02 00:00","2008-01-01 00:00"
CO98,Annual,2008,62,100,60,0.267,0.030,0.019,0.051,0.188,0.706,0.055,0.467,-9,5.308,6.183,25888.800,103.489,30,364,"2008-01-01 00:00","2008-12-30 00:00"
CO98,Annual,2009,63,100,62,0.323,0.021,0.018,0.030,0.127,0.540,0.043,0.351,-9,5.368,5.314,28962.000,125.034,31,364,"2008-12-30 00:00","2009-12-29 00:00"
CO98,Annual,2010,69,100,62,0.280,0.020,0.019,0.025,0.135,0.537,0.041,0.303,-9,5.314,5.449,34435.200,130.818,32,364,"2009-12-29 00:00","2010-12-28 00:00"
CO98,Annual,2011,81,100,86,0.205,0.023,0.024,0.030,0.126,0.609,0.044,0.329,-9,5.344,4.753,39355.000,133.854,42,371,"2010-12-28 00:00","2012-01-03 00:00"
CO98,Annual,2012,85,100,86,0.258,0.023,0.021,0.037,0.181,0.600,0.041,0.364,-9,5.379,5.303,26975.500,91.440,37,364,"2012-01-03 00:00","2013-01-01 00:00"
CO98,Annual,2013,66,100,57,0.130,0.016,0.020,0.022,0.241,0.611,0.040,0.321,-9,5.418,4.944,27923.900,140.792,32,364,"2013-01-01 00:00","2013-12-31 00:00"
CO98,Annual,2014,62,100,69,0.124,0.014,0.017,0.024,0.153,0.503,0.041,0.227,-9,5.359,4.322,37764.300,145.259,31,364,"2013-12-31 00:00","2014-12-30 00:00"
CO98,Annual,2015,90,98,85,0.109,0.012,0.010,0.028,0.160,0.474,0.037,0.241,-9,5.312,4.438,37388.100,112.090,45,365,"2014-12-30 00:00","2015-12-30 00:00"
CO98,Annual,2016,74,100,56,0.145,0.017,0.022,0.026,0.210,0.505,0.042,0.279,-9,5.412,4.684,20493.500,117.018,38,370,"2015-12-30 00:00","2017-01-03 00:00"
CO98,Annual,2017,84,96,92,0.117,0.011,0.013,0.013,0.186,0.413,0.028,0.200,-9,5.483,3.726,35264.000,121.511,31,364,"2017-01-03 00:00","2018-01-02 00:00"
CO98,Annual,2018,85,97,87,0.268,0.025,0.025,0.027,0.197,0.487,0.042,0.208,-9,5.564,4.388,27489.500,83.206,35,362,"2018-01-02 00:00","2018-12-18 00:00"
